cidade;area_plantada;area_colhida;qtd_produzida;data
Campo Novo do Parecis;291070;291070;818489;2000
Campo Novo do Parecis;283000;283000;849000;2001
Campo Novo do Parecis;300000;300000;900000;2002
Campo Novo do Parecis;320186;320186;902924;2003
Campo Novo do Parecis;325882;325882;879881;2004
Campo Novo do Parecis;343301;343301;1071099;2005
Campo Novo do Parecis;350000;344750;868770;2006
Campo Novo do Parecis;298000;298000;894000;2007
Campo Novo do Parecis;311500;311500;990570;2008
Campo Novo do Parecis;311500;311500;967208;2009
Campo Novo do Parecis;329214;329214;1006135;2010
Campo Novo do Parecis;315350;315350;990352;2011
Campo Novo do Parecis;336000;336000;1063800;2012
Campo Novo do Parecis;384000;384000;1125720;2013
Campo Novo do Parecis;388000;387400;1194288;2014
Campo Novo do Parecis;380500;380500;1197900;2015
Campo Novo do Parecis;380000;380000;1162800;2016
Campo Novo do Parecis;380000;368600;1172148;2017
Campo Novo do Parecis;380000;380000;1322400;2018
Campo Novo do Parecis;380000;380000;1276800;2019
